layer,x1_mm,y1_mm,x2_mm,y2_mm,width_mm,length_mm,net
F.Cu,158.25,159.906,158.25,150.25,0.1,9.66,AUDIO_IN_L
F.Cu,185.25,97.5,185.35,97.4,0.1,0.14,AUDIO_IN_L
F.Cu,226.005,103.005,224.298,101.298,0.1,2.41,AUDIO_IN_L
F.Cu,211.852,150.097,230.153,150.097,0.1,18.3,AUDIO_IN_L
F.Cu,209.821,149.0,211.0,149.0,0.1,1.18,AUDIO_IN_L
F.Cu,232.338,103.005,226.005,103.005,0.1,6.33,AUDIO_IN_L
F.Cu,192.5,155.0,193.096,155.596,0.1,0.84,SD_D3
F.Cu,112.75,144.0,117.0,144.0,0.1,4.25,SD_D3
F.Cu,193.096,155.596,193.096,160.62,0.1,5.02,SD_D3
F.Cu,185.476,156.876,185.476,160.62,0.2,3.74,SD_D0
F.Cu,185.25,156.65,185.476,156.876,0.2,0.32,SD_D0
F.Cu,113.25,148.0,115.0,148.0,0.2,1.75,SD_D0
F.Cu,111.6,146.25,111.5,146.15,0.1,0.14,SD_CMD
F.Cu,182.936,156.236,182.936,160.62,0.1,4.38,SD_CMD
F.Cu,115.5,146.25,111.6,146.25,0.1,3.9,SD_CMD
F.Cu,182.75,156.05,182.936,156.236,0.1,0.26,SD_CMD
F.Cu,187.5,157.25,188.016,157.766,0.2,0.73,SD_D1
F.Cu,188.016,157.766,188.016,160.62,0.2,2.85,SD_D1
F.Cu,92.5,157.5,92.5,71.0,0.1,86.5,AUDIO_OUT_R
F.Cu,92.5,71.0,93.0,70.5,0.1,0.71,AUDIO_OUT_R
F.Cu,93.0,70.5,145.5,70.5,0.1,52.5,AUDIO_OUT_R
F.Cu,146.75,71.75,159.05,71.75,0.1,12.3,AUDIO_OUT_R
F.Cu,145.5,70.5,146.75,71.75,0.1,1.77,AUDIO_OUT_R
F.Cu,159.05,71.75,160.4,70.4,0.1,1.91,AUDIO_OUT_R
F.Cu,109.25,159.084,97.25,159.084,0.1,12.0,AUDIO_OUT_R
F.Cu,210.929,149.6,211.727,150.398,0.1,1.13,USART1_RX
F.Cu,160.076,160.62,160.076,150.674,0.1,9.95,USART1_RX
F.Cu,226.278,102.704,224.848,101.274,0.1,2.02,USART1_RX
F.Cu,211.727,150.398,230.5,150.398,0.1,18.77,USART1_RX
F.Cu,234.634,104.81,232.528,102.704,0.1,2.98,USART1_RX
F.Cu,230.597,150.301,230.597,134.95,0.1,15.35,USART1_RX
F.Cu,224.848,101.274,224.848,97.05,0.1,4.22,USART1_RX
F.Cu,160.076,150.674,160.25,150.5,0.1,0.25,USART1_RX
F.Cu,230.597,134.95,234.634,130.913,0.1,5.71,USART1_RX
F.Cu,230.5,150.398,230.597,150.301,0.1,0.14,USART1_RX
F.Cu,234.634,130.913,234.634,104.81,0.1,26.1,USART1_RX
F.Cu,210.0,149.6,210.929,149.6,0.1,0.93,USART1_RX
F.Cu,208.0,97.0,208.0,94.0,0.1,3.0,USART1_RX
F.Cu,232.528,102.704,226.278,102.704,0.1,6.25,USART1_RX
F.Cu,190.556,120.75,190.556,117.806,0.1,2.94,+3V3_D
F.Cu,173.25,84.25,172.75,84.75,0.1,0.71,+3V3_D
F.Cu,190.556,117.806,190.25,117.5,0.1,0.43,+3V3_D
F.Cu,138.5,122.0,138.75,122.0,0.1,0.25,+3V3_D
F.Cu,172.75,84.75,165.5,84.75,0.1,7.25,+3V3_D
F.Cu,192.0,115.75,192.0,79.5,0.1,36.25,+3V3_D
F.Cu,137.25,145.75,137.25,123.25,0.1,22.5,+3V3_D
F.Cu,174.0,84.25,173.25,84.25,0.1,0.75,+3V3_D
F.Cu,138.75,122.0,168.6,122.0,0.1,29.85,+3V3_D
F.Cu,190.556,120.75,189.5,120.75,0.1,1.06,+3V3_D
F.Cu,186.25,122.0,168.6,122.0,0.1,17.65,+3V3_D
F.Cu,137.25,123.25,138.5,122.0,0.1,1.77,+3V3_D
F.Cu,190.556,145.38,190.556,120.75,0.1,24.63,+3V3_D
F.Cu,190.25,117.5,192.0,115.75,0.1,2.47,+3V3_D
F.Cu,133.0,75.75,132.699,75.449,0.1,0.43,USB_IN_MCU_N
F.Cu,187.715,143.141,187.715,137.75,0.1,5.39,USB_IN_MCU_N
F.Cu,132.75,69.95,134.5,69.95,0.1,1.75,USB_IN_MCU_N
F.Cu,132.699,75.449,132.699,71.301,0.1,4.15,USB_IN_MCU_N
F.Cu,145.25,74.55,144.05,75.75,0.1,1.7,USB_IN_MCU_N
F.Cu,132.699,71.301,132.749,71.351,0.1,0.07,USB_IN_MCU_N
F.Cu,187.715,76.715,186.75,75.75,0.1,1.36,USB_IN_MCU_N
F.Cu,185.476,145.38,187.715,143.141,0.1,3.17,USB_IN_MCU_N
F.Cu,144.05,75.75,133.0,75.75,0.1,11.05,USB_IN_MCU_N
F.Cu,132.749,71.351,132.75,71.351,0.1,0.0,USB_IN_MCU_N
F.Cu,187.715,137.75,187.715,76.715,0.1,61.04,USB_IN_MCU_N
F.Cu,133.75,74.0,133.25,73.5,0.1,0.71,USB_IN_MCU_P
F.Cu,146.25,74.0,135.25,74.0,0.1,11.0,USB_IN_MCU_P
F.Cu,188.016,75.766,187.25,75.0,0.1,1.08,USB_IN_MCU_P
F.Cu,135.25,74.0,133.75,74.0,0.1,1.5,USB_IN_MCU_P
F.Cu,188.016,145.38,188.016,75.766,0.1,69.61,USB_IN_MCU_P
F.Cu,220.0,161.9,220.5,161.4,0.2,0.71,island_001
F.Cu,220.5,161.4,220.5,159.75,0.2,1.65,island_001
F.Cu,218.5,157.5,216.225,157.5,0.2,2.28,+3V3_A
F.Cu,151.75,135.25,151.5,135.0,0.2,0.35,island_002
F.Cu,151.45,135.05,149.4,135.05,0.2,2.05,island_002
F.Cu,151.5,135.0,151.45,135.05,0.2,0.07,island_002
F.Cu,151.75,138.5,151.7,138.45,0.2,0.07,island_002
F.Cu,151.75,138.5,151.75,135.25,0.2,3.25,island_002
F.Cu,147.75,142.75,147.55,142.55,0.1,0.28,LED_1_R
F.Cu,159.986,142.75,147.75,142.75,0.1,12.24,LED_1_R
F.Cu,162.616,145.38,159.986,142.75,0.1,3.72,LED_1_R
F.Cu,142.75,136.75,144.6,136.75,0.1,1.85,LED_1_R
F.Cu,142.5,137.0,142.75,136.75,0.1,0.35,LED_1_R
F.Cu,147.55,142.55,147.55,140.5,0.1,2.05,LED_1_R
F.Cu,142.25,138.75,141.75,138.25,0.1,0.71,LED_1_B
F.Cu,142.5,143.75,142.25,143.5,0.1,0.35,LED_1_B
F.Cu,141.75,136.0,142.7,135.05,0.1,1.34,LED_1_B
F.Cu,142.25,143.5,142.25,138.75,0.1,4.75,LED_1_B
F.Cu,155.906,143.75,142.5,143.75,0.1,13.41,LED_1_B
F.Cu,157.536,145.38,155.906,143.75,0.1,2.31,LED_1_B
F.Cu,142.7,135.05,144.6,135.05,0.1,1.9,LED_1_B
F.Cu,141.75,138.25,141.75,136.0,0.1,2.25,LED_1_B
F.Cu,127.75,141.7,127.5,141.45,0.1,0.35,TAC_SWITCH_1
F.Cu,127.5,141.45,127.5,126.25,0.1,15.2,TAC_SWITCH_1
F.Cu,127.5,121.75,127.5,126.25,0.1,4.5,TAC_SWITCH_1
F.Cu,235.236,131.162,235.236,104.513,0.1,26.65,I2C_SDA
F.Cu,226.75,102.102,226.602,102.102,0.1,0.15,I2C_SDA
F.Cu,231.199,149.25,231.199,135.25,0.1,14.0,I2C_SDA
F.Cu,235.236,104.513,235.111,104.389,0.1,0.18,I2C_SDA
F.Cu,232.861,102.139,232.825,102.102,0.1,0.05,I2C_SDA
F.Cu,235.111,104.389,232.861,102.139,0.1,3.18,I2C_SDA
F.Cu,232.825,102.102,226.75,102.102,0.1,6.07,I2C_SDA
F.Cu,225.699,100.875,225.699,95.799,0.1,5.08,I2C_SDA
F.Cu,226.602,102.102,225.75,101.25,0.1,1.2,I2C_SDA
F.Cu,225.75,101.25,225.699,101.199,0.1,0.07,I2C_SDA
F.Cu,231.199,150.801,231.199,149.25,0.1,1.55,I2C_SDA
F.Cu,175.941,95.309,175.941,81.3,0.1,14.01,I2C_SDA
F.Cu,235.199,131.199,235.236,131.162,0.1,0.05,I2C_SDA
F.Cu,165.156,160.62,165.156,151.844,0.1,8.78,I2C_SDA
F.Cu,231.199,135.25,231.199,135.2,0.1,0.05,I2C_SDA
F.Cu,175.75,95.5,175.941,95.309,0.1,0.27,I2C_SDA
F.Cu,231.0,151.0,231.199,150.801,0.1,0.28,I2C_SDA
F.Cu,225.699,95.799,225.45,95.55,0.1,0.35,I2C_SDA
F.Cu,225.699,101.199,225.699,100.875,0.1,0.32,I2C_SDA
F.Cu,231.199,135.2,235.199,131.199,0.1,5.66,I2C_SDA
F.Cu,210.75,151.0,231.0,151.0,0.1,20.25,I2C_SDA
F.Cu,165.156,151.844,165.5,151.5,0.1,0.49,I2C_SDA
F.Cu,175.316,153.816,175.25,153.75,0.1,0.09,ENCR_B
F.Cu,231.0,154.0,232.5,152.5,0.1,2.12,ENCR_B
F.Cu,236.75,131.5,236.75,99.75,0.1,31.75,ENCR_B
F.Cu,175.316,160.62,175.316,153.816,0.1,6.8,ENCR_B
F.Cu,210.9,154.0,231.0,154.0,0.1,20.1,ENCR_B
F.Cu,232.5,152.5,232.5,135.75,0.1,16.75,ENCR_B
F.Cu,232.5,135.75,236.75,131.5,0.1,6.01,ENCR_B
F.Cu,209.5,148.75,209.551,148.699,0.1,0.07,AUDIO_MIC_IN_R
F.Cu,234.0,124.5,233.5,124.0,0.1,0.71,AUDIO_MIC_IN_R
F.Cu,234.0,130.5,234.0,130.25,0.1,0.25,AUDIO_MIC_IN_R
F.Cu,213.0,149.796,229.75,149.796,0.1,16.75,AUDIO_MIC_IN_R
F.Cu,209.551,148.699,211.0,148.699,0.1,1.45,AUDIO_MIC_IN_R
F.Cu,154.996,160.62,154.996,150.004,0.1,10.62,AUDIO_MIC_IN_R
F.Cu,154.996,150.004,155.25,149.75,0.1,0.36,AUDIO_MIC_IN_R
F.Cu,211.801,149.375,212.222,149.796,0.1,0.59,AUDIO_MIC_IN_R
F.Cu,229.949,149.0,229.949,134.551,0.1,14.45,AUDIO_MIC_IN_R
F.Cu,211.125,148.699,211.801,149.375,0.1,0.96,AUDIO_MIC_IN_R
F.Cu,229.949,149.597,229.949,149.0,0.1,0.6,AUDIO_MIC_IN_R
F.Cu,211.0,148.699,211.125,148.699,0.1,0.12,AUDIO_MIC_IN_R
F.Cu,234.0,130.25,234.0,124.5,0.1,5.75,AUDIO_MIC_IN_R
F.Cu,207.856,150.394,209.5,148.75,0.1,2.32,AUDIO_MIC_IN_R
F.Cu,207.572,150.394,207.856,150.394,0.1,0.28,AUDIO_MIC_IN_R
F.Cu,212.222,149.796,213.0,149.796,0.1,0.78,AUDIO_MIC_IN_R
F.Cu,229.949,134.551,230.25,134.25,0.1,0.43,AUDIO_MIC_IN_R
F.Cu,229.75,149.796,229.949,149.597,0.1,0.28,AUDIO_MIC_IN_R
F.Cu,230.25,134.25,234.0,130.5,0.1,5.3,AUDIO_MIC_IN_R
F.Cu,187.414,126.749,187.165,126.5,0.1,0.35,TAC_SWITCH_2
F.Cu,187.414,143.0,187.414,126.749,0.1,16.25,TAC_SWITCH_2
F.Cu,184.351,143.965,186.465,143.965,0.1,2.11,TAC_SWITCH_2
F.Cu,186.465,143.965,187.414,143.016,0.1,1.34,TAC_SWITCH_2
F.Cu,182.936,145.38,184.351,143.965,0.1,2.0,TAC_SWITCH_2
F.Cu,210.5,121.75,210.5,126.25,0.1,4.5,TAC_SWITCH_2
F.Cu,187.414,143.016,187.414,143.0,0.1,0.02,TAC_SWITCH_2
F.Cu,108.0,104.25,108.0,99.75,0.1,4.5,ENCL_A
F.Cu,108.5,104.75,108.0,104.25,0.1,0.71,ENCL_A
F.Cu,120.25,104.75,108.5,104.75,0.1,11.75,ENCL_A
F.Cu,147.0,138.75,146.7,138.45,0.1,0.42,LED_1_G
F.Cu,160.076,145.38,157.946,143.25,0.1,3.01,LED_1_G
F.Cu,147.25,143.25,147.0,143.0,0.1,0.35,LED_1_G
F.Cu,157.946,143.25,147.25,143.25,0.1,10.7,LED_1_G
F.Cu,147.0,143.0,147.0,138.75,0.1,4.25,LED_1_G
F.Cu,146.7,138.45,144.6,138.45,0.1,2.1,LED_1_G
F.Cu,232.199,135.551,236.25,131.5,0.1,5.73,ENCR_A
F.Cu,231.5,153.0,232.199,152.301,0.1,0.99,ENCR_A
F.Cu,236.25,131.5,236.25,104.25,0.1,27.25,ENCR_A
F.Cu,232.199,152.301,232.199,135.551,0.1,16.75,ENCR_A
F.Cu,177.856,153.106,177.75,153.0,0.1,0.15,ENCR_A
F.Cu,236.25,104.25,231.75,99.75,0.1,6.36,ENCR_A
F.Cu,210.9,153.0,231.5,153.0,0.1,20.6,ENCR_A
F.Cu,177.856,160.62,177.856,153.106,0.1,7.51,ENCR_A
F.Cu,226.801,101.801,226.0,101.0,0.1,1.13,I2C_SCL
F.Cu,209.981,151.697,231.303,151.697,0.1,21.32,I2C_SCL
F.Cu,231.5,135.324,235.537,131.287,0.1,5.71,I2C_SCL
F.Cu,231.303,151.697,231.5,151.5,0.1,0.28,I2C_SCL
F.Cu,167.696,160.62,167.696,152.804,0.1,7.82,I2C_SCL
F.Cu,235.537,104.389,232.949,101.801,0.1,3.66,I2C_SCL
F.Cu,226.0,101.0,226.0,95.0,0.1,6.0,I2C_SCL
F.Cu,231.5,151.5,231.5,135.324,0.1,16.18,I2C_SCL
F.Cu,226.0,95.0,225.75,94.75,0.1,0.35,I2C_SCL
F.Cu,167.696,152.804,168.5,152.0,0.1,1.14,I2C_SCL
F.Cu,235.537,131.287,235.537,104.389,0.1,26.9,I2C_SCL
F.Cu,232.949,101.801,226.801,101.801,0.1,6.15,I2C_SCL
F.Cu,174.095,146.699,197.051,146.699,0.1,22.96,LED_2_G
F.Cu,197.051,146.699,197.95,145.8,0.1,1.27,LED_2_G
F.Cu,194.6,141.451,194.6,138.7,0.1,2.75,LED_2_G
F.Cu,197.95,145.8,197.95,144.801,0.1,1.0,LED_2_G
F.Cu,197.95,144.801,194.6,141.451,0.1,4.74,LED_2_G
F.Cu,172.776,145.38,174.095,146.699,0.1,1.87,LED_2_G
F.Cu,154.996,145.38,157.166,147.55,0.1,3.07,LED_2_R
F.Cu,195.949,142.375,195.949,137.899,0.1,4.48,LED_2_R
F.Cu,197.125,143.551,195.949,142.375,0.1,1.66,LED_2_R
F.Cu,195.949,137.899,195.05,137.0,0.1,1.27,LED_2_R
F.Cu,198.0,144.0,197.551,143.551,0.1,0.63,LED_2_R
F.Cu,195.05,137.0,194.6,137.0,0.1,0.45,LED_2_R
F.Cu,157.166,147.55,198.0,147.55,0.1,40.83,LED_2_R
F.Cu,197.551,143.551,197.125,143.551,0.1,0.43,LED_2_R
F.Cu,171.856,147.0,173.5,147.0,0.1,1.64,LED_2_B
F.Cu,196.25,142.25,196.25,135.75,0.1,6.5,LED_2_B
F.Cu,170.236,145.38,171.856,147.0,0.1,2.29,LED_2_B
F.Cu,173.5,147.0,198.75,147.0,0.1,25.25,LED_2_B
F.Cu,198.75,147.0,199.0,147.25,0.1,0.35,LED_2_B
F.Cu,198.25,143.25,197.25,143.25,0.1,1.0,LED_2_B
F.Cu,197.25,143.25,196.25,142.25,0.1,1.41,LED_2_B
F.Cu,199.0,144.0,198.25,143.25,0.1,1.06,LED_2_B
F.Cu,196.25,135.75,195.8,135.3,0.1,0.64,LED_2_B
F.Cu,195.8,135.3,194.6,135.3,0.1,1.2,LED_2_B
F.Cu,176.0,121.0,176.75,120.25,0.1,1.06,island_003
F.Cu,176.75,120.25,176.75,120.0,0.1,0.25,island_003
F.Cu,169.162,121.25,169.25,121.337,0.1,0.12,island_004
F.Cu,167.25,121.25,169.162,121.25,0.1,1.91,island_004
F.Cu,210.25,152.45,231.624,152.45,0.1,21.37,TAC_SHIFT_R
F.Cu,231.624,152.45,231.898,152.176,0.1,0.39,TAC_SHIFT_R
F.Cu,232.912,101.338,226.838,101.338,0.1,6.07,TAC_SHIFT_R
